citekey,title,year,generation,entry_type,first_author,doi,completeness,in_degree,out_degree,is_ghost
glorstad2014,Homeland -strange land -new land: Material and theoretical aspects of defining Norse identity in the Viking Age,2014,F1,incollection,Glørstad Zanette,10.1163/9789004255128_010,0.917,2,47,False
glorstad2015,Mot en ny tid? merovingertidens ryggknappspenner som uttrykk for endring og erindring,2015,F1,incollection,Glørstad Zanette,,0.917,5,39,False
goodchild2017,Borgring: The discovery of a Viking Age ring fortress,2017,F1,article,Goodchild Helen,10.15184/aqy.2017.118,1.0,4,30,False
gossler2018,"Wikinger und Balten an der Memel, Die Ausgrabungen des frühgeschichtlichen Gräberfeldes von Linkuhnen in Ostpreußen 1928-1939",2018,F1,article,Goßler N.,,0.583,1,0,False
grahamcampbell2013,,2013,F1,misc,Graham-Campbell James,,0.5,2,0,False
grahamcampbell2011,The Cuerdale Hoard and Related Viking-Age Silver and Gold from Britain and Ireland in the British Museum,2011,F1,book,Graham-Campbell James,,0.889,10,0,False
graslund2007,"Fimbulvintern, Ragnarök och klimatkrisen år 536-537 e",2007,F1,article,Gräslund A-S,,0.917,6,0,False
graslund2018,"Beowulfkvädet. Den nordiska bakgrunden. Acta Academiae Regiae Gustavi Adolphi CXLIX, 64. Kung. Gustav Adolfs Akademien för svensk folkkultur",2018,F1,book,Gräslund A-S,,0.889,3,0,False
griffiths2019,Rethinking the early Viking Age in the West,2019,F1,article,"Griffiths Dodd, Goodwin,",10.15184/aqy.2018.199,1.0,2,38,False
griffiths2003,"Beside the ocean: the Bay of Skaill, Marwick and Birsay Bay, Orkney: archaeological research",2003,F1,article,"Griffiths Dodd, Goodwin,",,0.833,4,0,False
gruszczynski2018,"Silver, Hoards and Containers: The Archaeological and Historical Context of Viking-Age Silver Coin Deposits in the Baltic c",2018,F1,book,Gruszczyński J.,,0.778,1,0,False
gullbekk2011,"Money and Its Use in the Saga Society: Silver, Coins and Commodity Money",2011,F1,book,Gullbekk Svein,,0.778,2,31,False
gustafsson2011,"Gustafsson, N.B., 2011a. Beyond Wayland -thoughts on early medieval metal workshops in Scandi- navia. Historical Metallurgy 45:2. London -2011b. A Viking Period Metalworking Hoard from Alvena in Mäste",2011,F1,article,Gustafsson Ny Björn,,0.833,3,18,False
gustafsson2016,Beeswax in metalworking in Viking period Gotland,2016,F1,article,Gustafsson Ny Björn,,0.833,1,21,False
hadley2016,radiocarbon dates for the cist graves are AD 1030-1210 and AD 1025-1165,2016,F1,article,Hadley Dawn M.,10.1017/S0003581516000718,1.0,7,65,False
hadley2018,In search of the Viking Great Army: Beyond the winter camps,2018,F1,article,Hadley Dawn M.,,0.833,3,56,False
hadley2013,"Everyday Life in Viking-Age Towns: Social Approaches to Towns in England and Ireland, C. 800-1100",2013,F1,article,Hadley Dawn M.,,0.778,5,0,False
halewood2001,Viking Heritage Tourism: Authenticity and Commodification,2001,F1,article,Halewood C.,,0.833,1,29,False
hall2014,Board of the kings: the material culture of playtime in Scotland AD 1-1600,2014,F1,book,Hall Richard A,,0.778,3,0,False
hallansstenholm2012,Fornminnen: Det Förflutnas Roll i det Förkristna och Kristna Mälardalen,2012,F1,book,Stenholm Hållans,,0.889,6,0,False
halstadmcguire2010,"Sailing Home: Boat-Graves, Migrant Identities and Funerary Practices on the Viking Frontier",2010,F1,incollection,Mcguire Halstad,10.1163/9789042030879_010,0.917,3,21,False
hansen2017,"Soapstone in the North: Quarries, Products and People 7000 BC-AD 1700",2017,F1,book,,,0.444,1,0,False
hansson2018,Birkas skepp: Vikingatid på östersjön,2018,F1,book,Hansson J.,,0.667,1,0,False
hardh2010,Från romartida skalpeller till senvikingatida urnesspännen,2010,F1,article,Hårdh Birgitta,,0.917,2,0,False
hardh2016,The Perm'/Glazov Rings: Contacts and Economy in the Viking Age between Russia and the Baltic Region,2016,F1,book,Hårdh Birgitta,,0.778,2,0,False
harris2017,"Assembling places and persons: A tenth-century Viking boat burial from Swordle Bay on the Ardnamurchan peninsula, western Scotland",2017,F1,article,Harris O. J. T.,10.15184/aqy.2016.222,1.0,2,47,False
harrison2015,Warrior Graves'? The Weapon Burial Rite in Viking age Britain and Ireland. I Maritime societies of the Viking and medieval world,2015,F1,article,Harrison Sandy P.,,1.0,3,71,False
harrison2014,Connecting the Land to the Sea at Gásir; International Exchange and Long Term Eyjafjordur Ecodynamics in Medieval Iceland,2014,F1,article,Harrison S. H.,,0.889,12,0,False
smith2018,"Dorset, Norse, or Thule? Technological transfers, marine mammal contamination, and AMS dating of spun yarn and textiles from the Eastern Canadian Arctic",2018,F1,article,Smith Hayeur,10.1016/j.jas.2018.06.005,0.917,1,104,False
hedjakobsson2003,Smédltdeglars harskare och jerusalems tillkkyndare. berittelser om vikingatid och tidig medelrid,2003,F1,article,Hed Jakobsson A.,,0.833,5,0,False
hedeager2003,Kognitiv Topografi : !Edelmetalldepoter I Landskapet. Universitetets Oldsaksamlings Skrifter,2003,F1,article,Hedeager Lotte,,1.0,10,0,False
hedeager2004,Dyr og andre menenskere -menneesker og andre dyr. dyreornamentikkens traanscendaentale realitet,2004,F1,incollection,Hedeager Lotte,,0.917,11,0,False
hedeager2010,Split Bodies in the Late Iron Age/ Viking Age of Scandinavia,2010,F1,incollection,Hedeager Lotte,,0.917,3,65,False
hedeager2011,Iron Age Myth and Materiality: An Archaeology of Scandinavia AD 400-1000. L and,2011,F1,book,Hedeager Lotte,,0.889,23,0,False
hedenstiernajonson2006,"Kungl.Vitterhets Historie och Antikvitetsakademien, Stockholm. Henriksen, Mogens Bo 2000. Detektorfund -hvad skal vi med dem? Dokumentation og registrering af bopladser med detektorfund fra jernalder og middelalder",2006,F1,article,Hedenstierna-Jonson Charlotte,,0.889,17,0,False
hedenstiernajonson2012,Birka Nu: Pågående Forskning om Världsarvet Birka och Hovgården,2012,F1,book,Hedenstierna-Jonson Charlotte,,0.778,3,0,False
